,Zona Central,Zona Norte,Zona Sur,Zona Este,Zona Oeste,Zona Nordeste,Zona Noroeste,Zona Sudeste,Zona Sudoeste,Zona Cerro-Argüello,Zona Guiñazú
0,Cáceres,Parque Liceo Sección 1,Mirizzi,General Pueyrredón,Ampliación Las Palmas,La Hortensia,San Martín Anexo,José Ignacio Díaz Sección 5,Guarnición Aérea Córdoba,Villa Serrana,Guiñazú Sud
1,Güemes,Cofico,Irupé,Yofre Sud,Chateau Carreras,Residencial Aragón,San Martín Norte,Mirador,Ampliación Rosedal,Parque Modelo,Guiñazú
2,Nueva Córdoba,Jerónimo Luis de Cabrera,San Antonio,Hogar Propio,Puente Blanco,Vivero Norte,Las Margaritas,Ampliación San Pablo,Parque Republica,UOCRA,Remedios de Escalada
3,Observatorio,Ampliación Panamericano,Cabo Farina,Juniors,Country Lomas de la Carolina,Villa Retiro,Lomas de San Martín,Villa Revol,Achával Peña,Granja de Funes,Recreo del Norte
4,Paso de los Andes,Panamericano,Vicor,Ampliación Yapeyú,Ampliación Los Plátanos,Parque Liceo Sección 3,Altos de Villa Cabrera,Ferroviario Mitre,Residencial Olivos,Villa 9 de Julio,Liceo General Paz
5,Bajada San Roque,Ayacucho,Iponá,Villa Claudina,Villa Siburu,Yofre H,Altos de San Martín,Parque San Carlos,Rosedal,San Marcelo,Villa Gran Parque
6,Parque Sarmiento,Independencia,Ejército Argentino,Los Pinos,Ombú,Quintas de San Jorge,Ampliación Poeta Lugones,1 de Mayo,Ampliación Benjamín Matienzo,Quintas de Argüello,Villa Alicia Risler
7,Providencia,Ampliación Residencial América,Country Club,Yofre I,Lamadrid,Guayaquil,Las Magnolias,Ituzaingó,Industrial Oeste,Tablada Park,
8,Centro,Parque Jorge Newbery,San Fernando,Ampliación Pueyrredón,El Trebol,General Belgrano,Villa Cabrera,Acosta,Los Filtros,Villa Argüello,
9,Cupani,Los Álamos,Las Flores,Palmar,Covico,Finca La Dorotea,La France,Almirante Brown,Rosedal Anexo,Cerro Norte,
10,Rogelio Martinez,General Savio,Santa Isabel Sección 3,General Paz,Quebrada de las Rosas,Nueva Italia,Bajo Galán,Empalme Casas de Obreros y Empleados,Primera Junta,Colinas del Cerro,
11,Ducasse,Juan B. Justo,Santa Isabel Sección 1,Bajada de Piedra,Las Palmas,San Nicolás,Sargento Cabral,San Lorenzo,Las Playas,Silvano Funes,
12,Maurizi,Alta Córdoba,Kennedy,La Floresta,Villa Páez,Villa Esquiú,Parque Chacabuco,Urquiza,El Pueblito,Alto Hermoso,
13,Bella Vista,General Bustos,SEP,Yapeyú,La Toma,Santa Clara de Asís,San Lorenzo Norte,San Felipe,Carola Lorenzini,Policial,
14,Quinta Santa Ana,20 de Junio,Los Olmos,Bajo General Paz,Las Delicias,Residencial San Jorge,Ana Maria Zumarán,José Ignacio Díaz,Aeronáutico,Los Boulevares,
15,Alberdi,Centro América,Villa San Carlos,Ampliación Palmar,Córdoba 5,Villa Corina,San Salvador,Jardín del Pilar,Estación Flores,Mercantil,
16,,Parque Liceo Sección 2,Jardín Espinosa,Patria,Uritorco,Patricios Este,Marqués de Sobremonte,Los Ceibos,Bella Vista Oeste,Villa Cornu,
17,,Villa Azalais Oeste,Ampliación Jardín Espinosa,Estancia La Lucila,Country Las Delicias,Patricios Oeste,Villa 4 de Agosto,Jardín del Sud,Avenida,Padre Claret Anexo,
18,,Hipólito Yrigoyen,Parque Los Molinos,,Villa Alberdi,General Mosconi,San Martín,José Ignacio Díaz Sección 4,Villa Aspacia,Parque Tablada,
19,,Residencial América,Inaudi,,Lomas del Suquía,Patricios Norte,Los Principios,Ampliación Cerveceros,Colinas de Bella Vista,Valle del Cerro,
20,,Marcelo T. de Alvear,Villa El Libertador,,Obrero,Arturo Capdevila,Granadero Pringles,Ituzaingó Anexo,Mariano Balcarce,Arcos I,
21,,La Fraternidad,Santa Rosa,,Parque Don Bosco,Parque Montecristo,Los Paraísos,Residencial San Carlos,San Rafael,Argüello,
22,,Mariano Fragueiro,Sacchi,,Los Robles,Yofre Norte,Alto Verde,Parque San Vicente,Teniente Benjamín Matienzo,Carolina,
23,,Los Gigantes,Residencial Vélez Sársfield,,Parque de la Vega Tres,Talleres Oeste,Poeta Lugones,Renacimiento,Ameghino Norte,Villa Rivera Indarte,
24,,Pque. Liceo I,SMATA,,Residencial Chateau,General Arenales,Chacra del Norte,Crisol Norte,Suárez,Padre Claret,
25,,Amp. Res. America,Santa Isabel Sección 2,,Palermo Bajo,Patricios,Altos del Chateau,Nicolás Avellaneda,San Francisco,Portal del Jacarandá,
26,,Soles Serranos,Carrara,,Alto Alberdi,Villa Azalais,Zumaran,Cooperativa La Unidad,Parque Capital Sud,La Carolina,
27,,,Altos de Vélez Sársfield,,Villa General Urquiza,Talleres Este,Alto Villasol,Déan Funes,Residencial San Roque,Villa Los Angeles,
28,,,Ampliación Cabo Farina,,San Ignacio,San Ramón,,Crisol Sud,Los Granados,Argüello Norte,
29,,,Posta de Vargas,,Tranviarios,,,Ferreyra,Los Naranjos,Argüello Lourdes,
30,,,Jardín,,Marechal,,,Maldonado,ATE,Santa Cecilia,
31,,,Parque Vélez Sársfield,,René Favaloro,,,Ramón J. Cárcano,Las Violetas,Alborada Sur,
